pixel,intensity
891.0,12.419743
892.0,12.980755
893.0,9.143911
894.0,6.30476
895.0,6.405293
896.0,6.7474275
897.0,5.267827
898.0,9.833333
899.0,11.133034
900.0,11.224972
901.0,16.363068
902.0,14.417389
903.0,9.340771
904.0,7.224572
905.0,6.444205
906.0,4.136558
907.0,4.4378424
908.0,5.5226083
909.0,4.5215535
910.0,3.720513
911.0,3.055373
912.0,2.6666667
913.0,2.6589957
914.0,2.5998757
915.0,2.444375
916.0,5.2440443
917.0,2.9154758
918.0,3.300239
919.0,3.480102
920.0,4.3426405
921.0,3.9616215
922.0,2.2791594
923.0,1.8708287
924.0,2.4381232
925.0,2.9154758
926.0,3.5707142
927.0,3.0731814
928.0,2.5
929.0,3.082207
930.0,2.6509957
931.0,2.420973
932.0,2.5495098
933.0,5.3567195
934.0,7.7477593
935.0,4.6398034
936.0,3.756476
937.0,6.8556547
938.0,6.186904
939.0,3.7416575
940.0,2.598076
941.0,3.9930496
942.0,4.2130747
943.0,6.8027773
944.0,23.459776
945.0,29.525414
946.0,23.56787
947.0,11.759157
948.0,4.7900357
949.0,11.22621
950.0,15.846486
951.0,16.523552
952.0,14.466436
953.0,14.899665
954.0,23.690716
955.0,25.815586
956.0,8.252946
957.0,3.7749171
958.0,3.2058973
959.0,2.5221243
960.0,3.4439964
961.0,4.013865
962.0,3.122499
963.0,3.391165
964.0,9.07071
965.0,9.955457
966.0,9.718253
967.0,7.6992064
968.0,6.5975585
969.0,9.7851925
970.0,13.35207
971.0,11.410278
972.0,6.5149403
973.0,6.827233
974.0,4.3011627
975.0,5.0442486
976.0,13.076696
977.0,10.195314
978.0,4.4190245
979.0,3.9193254
980.0,3.4318767
981.0,4.2849865
982.0,4.7813296
983.0,3.08671
984.0,3.8873012
985.0,5.174725
986.0,10.817938
987.0,18.088516
988.0,14.713939
989.0,9.382312
990.0,9.924717
991.0,6.819091
992.0,11.103053
993.0,11.522924
994.0,4.387482
995.0,5.87367
996.0,5.6347136
997.0,7.28011
998.0,8.6602545
999.0,8.56511
1000.0,5.372254
1001.0,2.9627314
1002.0,4.0960684
1003.0,14.327518
1004.0,10.3293
1005.0,10.611838
1006.0,14.841758
1007.0,12.942179
1008.0,16.465452
1009.0,8.922506
1010.0,4.5491147
1011.0,4.9497476
1012.0,8.671473
1013.0,4.8333335
1014.0,4.1666665
1015.0,6.0850453
1016.0,7.81025
1017.0,5.8523498
1018.0,4.9777284
1019.0,3.9930496
1020.0,6.4031243
1021.0,7.2072496
1022.0,5.174725
1023.0,7.1937475
1024.0,4.8218255
1025.0,3.640055
1026.0,4.527693
1027.0,7.378648
1028.0,4.702245
1029.0,5.002777
1030.0,6.0621777
1031.0,3.4075081
1032.0,4.1466184
1033.0,3.9826012
1034.0,3.8005848
1035.0,4.41588
1036.0,6.3267508
1037.0,4.342938
1038.0,11.202679
1039.0,7.1414285
1040.0,16.867128
1041.0,18.91428
1042.0,14.066311
1043.0,9.417773
1044.0,13.190906
1045.0,8.602325
1046.0,21.938044
1047.0,16.81352
1048.0,7.1589108
1049.0,4.9272485
1050.0,5.196152
1051.0,5.380004
1052.0,4.055175
1053.0,3.3166249
1054.0,4.769696
1055.0,3.480102
1056.0,4.555217
1057.0,5.3489356
1058.0,6.819091
1059.0,6.8637533
1060.0,3.640055
1061.0,4.136558
1062.0,4.816061
1063.0,5.8190303
1064.0,4.769696
1065.0,3.218868
1066.0,4.555217
1067.0,4.974937
1068.0,5.315073
1069.0,4.690416
1070.0,4.772607
1071.0,3.9370039
1072.0,2.291288
1073.0,1.7638342
1074.0,5.1017427
1075.0,4.031129
1076.0,4.2720017
1077.0,4.2426405
1078.0,4.2130747
1079.0,5.5777335
1080.0,19.17029
1081.0,13.959266
1082.0,9.447222
1083.0,18.275667
1084.0,12.389512
1085.0,3.9826012
1086.0,6.0827627
1087.0,2.8915586
1088.0,3.0184617
1089.0,4.8218255
1090.0,6.0713353
1091.0,4.4001265
1092.0,3.6666667
1093.0,2.95804
1094.0,4.8218255
1095.0,6.016182
1096.0,9.288583
1097.0,9.380832
1098.0,5.230785
1099.0,7.06124
1100.0,4.5
1101.0,7.4405046
1102.0,7.535103
1103.0,5.87367
1104.0,6.463573
1105.0,9.243616
1106.0,6.1327896
1107.0,6.689544
1108.0,5.7469797
1109.0,7.5498343
1110.0,5.3851647
1111.0,8.958237
1112.0,8.447551
1113.0,9.69536
1114.0,5.494947
1115.0,8.903807
1116.0,8.268078
1117.0,4.003471
1118.0,4.3140597
1119.0,6.635343
1120.0,5.267827
1121.0,13.080945
1122.0,12.73774
1123.0,12.298374
1124.0,9.567015
1125.0,10.839742
1126.0,9.8234415
1127.0,10.887046
1128.0,9.913515
1129.0,11.166667
1130.0,8.53099
1131.0,7.7638764
1132.0,6.8576803
1133.0,5.2783628
1134.0,4.3301272
1135.0,3.480102
1136.0,4.7958317
1137.0,5.6445646
1138.0,3.7006006
1139.0,4.4001265
1140.0,6.359595
1141.0,7.745967
1142.0,6.4247785
1143.0,7.1141486
1144.0,6.827233
1145.0,4.444097
1146.0,4.769696
1147.0,4.7287536
1148.0,5.9113827
1149.0,5.656854
1150.0,3.972125
1151.0,7.071068
1152.0,5.5677643
1153.0,5.2915025
1154.0,4.0242324
1155.0,6.3835726
1156.0,14.700718
1157.0,9.8418045
1158.0,22.034695
1159.0,29.203787
1160.0,24.235535
1161.0,18.445868
1162.0,9.987493
1163.0,19.774422
1164.0,15.618721
1165.0,18.294657
1166.0,19.064219
1167.0,11.565034
1168.0,3.535534
1169.0,4.4845414
1170.0,5.4108944
1171.0,6.3835726
1172.0,3.586239
1173.0,3.7416575
1174.0,2.108185
1175.0,4.1062284
1176.0,3.2829525
1177.0,4.2946997
1178.0,2.5055494
1179.0,4.816061
1180.0,3.3582404
1181.0,2.4888642
1182.0,4.4659204
1183.0,7.704616
1184.0,10.409664
1185.0,5.3255153
1186.0,3.308239
1187.0,3.480102
1188.0,2.6666667
1189.0,1.9860625
1190.0,3.5158372
1191.0,4.1062284
1192.0,3.3582404
1193.0,3.082207
1194.0,3.5707142
1195.0,5.150512
1196.0,4.013865
1197.0,2.345208
1198.0,2.8722813
1199.0,2.5873625
1200.0,3.8658044
1201.0,4.126473
1202.0,4.4001265
1203.0,3.6742346
1204.0,5.517648
1205.0,6.1237245
1206.0,5.3851647
1207.0,3.5978389
1208.0,4.6636896
1209.0,14.05347
1210.0,6.5
1211.0,9.879833
1212.0,6.463573
1213.0,6.8738637
1214.0,5.0744457
1215.0,9.656604
1216.0,15.362291
1217.0,17.562586
1218.0,17.219982
1219.0,6.2605467
1220.0,3.4681087
1221.0,5.0249376
1222.0,4.5856056
1223.0,4.3043904
1224.0,4.8333335
1225.0,4.362084
1226.0,4.57651
1227.0,3.5746017
1228.0,4.9103065
1229.0,2.9154758
1230.0,3.2403703
1231.0,3.9370039
1232.0,4.6666665
1233.0,3.5978389
1234.0,3.4075081
1235.0,3.4075081
1236.0,3.8005848
1237.0,4.816061
1238.0,5.456902
1239.0,4.265495
1240.0,3.535534
1241.0,4.4095855
1242.0,4.5673966
1243.0,2.9627314
1244.0,4.2262406
1245.0,4.8933063
1246.0,5.868939
1247.0,3.391165
1248.0,4.186619
1249.0,5.2440443
1250.0,4.3011627
1251.0,1.9364917
1252.0,1.2018504
1253.0,4.9356976
1254.0,3.8980052
1255.0,3.8729835
1256.0,3.5512125
1257.0,3.5746017
1258.0,3.2446537
1259.0,4.156655
1260.0,4.9272485
1261.0,5.6666665
1262.0,4.245913
1263.0,3.7675514
1264.0,2.7838821
1265.0,2.598076
1266.0,4.850544
1267.0,3.0322342
1268.0,4.0
1269.0,3.7453675
1270.0,4.3011627
1271.0,4.186619
1272.0,3.4278274
1273.0,6.105553
1274.0,4.690416
1275.0,4.5856056
1276.0,4.245913
1277.0,5.049752
1278.0,3.5746017
1279.0,1.9364917
1280.0,5.052502
1281.0,3.8729835
1282.0,3.7675514
1283.0,4.358899
1284.0,4.2262406
1285.0,4.690416
1286.0,4.092676
1287.0,3.734226
1288.0,4.156655
1289.0,3.7749171
1290.0,4.5856056
1291.0,6.359595
1292.0,6.057594
1293.0,8.589399
1294.0,6.5574384
1295.0,7.8492746
1296.0,9.669539
1297.0,10.833333
1298.0,9.861542
1299.0,14.737518
1300.0,10.806376
1301.0,13.472194
1302.0,7.224572
1303.0,7.688375
1304.0,9.328868
1305.0,10.678379
1306.0,8.0
1307.0,12.149531
1308.0,10.437646
1309.0,7.7136245
1310.0,12.833333
1311.0,13.28533
1312.0,17.008167
1313.0,17.335737
1314.0,18.096962
1315.0,11.591424
1316.0,12.187198
1317.0,9.16212
1318.0,12.190616
1319.0,14.11953
1320.0,20.224436
1321.0,11.424875
1322.0,13.462912
1323.0,17.450724
1324.0,18.090052
1325.0,19.077328
1326.0,14.646767
1327.0,13.991069
1328.0,16.792856
1329.0,16.91482
1330.0,12.971122
1331.0,16.277115
1332.0,11.493959
1333.0,12.390633
1334.0,14.169607
1335.0,11.938499
1336.0,12.424214
1337.0,22.477766
1338.0,20.186628
1339.0,26.663542
1340.0,31.351944
1341.0,18.134527
1342.0,9.955457
1343.0,10.236102
1344.0,9.64077
1345.0,6.3464775
1346.0,7.1239033
1347.0,10.0
1348.0,13.865424
1349.0,13.674794
1350.0,17.448336
1351.0,15.814901
1352.0,16.16151
1353.0,16.269432
1354.0,11.29159
1355.0,11.61895
1356.0,13.836345
1357.0,10.592188
1358.0,9.591663
1359.0,9.527738
1360.0,16.838284
1361.0,16.379187
1362.0,12.020815
1363.0,17.06442
1364.0,12.688578
1365.0,22.769375
1366.0,27.976677
1367.0,12.0081
1368.0,13.507199
1369.0,10.643204
1370.0,13.602491
1371.0,4.609772
1372.0,6.204837
1373.0,5.622376
1374.0,3.5707142
1375.0,3.8078866
1376.0,6.745369
1377.0,5.775908
1378.0,5.118051
1379.0,6.576473
1380.0,5.9581876
1381.0,8.388153
1382.0,7.017834
1383.0,16.944353
1384.0,25.74393
1385.0,33.328335
1386.0,25.641764
1387.0,15.767406
1388.0,26.200085
1389.0,20.141857
1390.0,18.534502
1391.0,14.3178215
1392.0,18.268826
1393.0,20.865309
1394.0,8.3666
1395.0,12.265579
1396.0,29.912373
1397.0,28.818398
1398.0,32.29465
1399.0,12.962553
1400.0,10.641898
1401.0,15.898113
1402.0,7.7853136
1403.0,15.661346
1404.0,14.62684
1405.0,10.833333
1406.0,12.884099
1407.0,17.89553
1408.0,15.483863
1409.0,10.207568
1410.0,8.426149
1411.0,12.132372
1412.0,7.6011696
1413.0,9.130231
1414.0,6.912147
1415.0,9.328868
1416.0,13.811227
1417.0,10.887046
1418.0,11.483079
1419.0,13.599428
1420.0,19.70265
1421.0,16.236105
1422.0,17.72318
1423.0,18.053932
1424.0,21.806599
1425.0,11.020184
1426.0,12.7060795
1427.0,22.506172
1428.0,26.918602
1429.0,23.780828
1430.0,17.445948
1431.0,18.113838
1432.0,26.612967
1433.0,18.861336
1434.0,23.438454
1435.0,24.142517
1436.0,13.932376
1437.0,13.678856
1438.0,10.1256
1439.0,18.103867
1440.0,20.236107
1441.0,16.828382
1442.0,16.024286
1443.0,24.764446
1444.0,11.966388
1445.0,25.38208
1446.0,22.756561
1447.0,21.37041
1448.0,15.618721
1449.0,17.471405
1450.0,16.078798
1451.0,15.578653
1452.0,20.236107
1453.0,9.824855
1454.0,11.895377
1455.0,5.9605184
1456.0,11.519307
1457.0,12.559856
1458.0,12.183778
1459.0,13.429859
1460.0,39.579037
1461.0,41.231056
1462.0,48.36321
1463.0,42.959606
1464.0,23.151674
1465.0,8.482007
1466.0,6.948221
1467.0,12.159816
1468.0,11.78747
1469.0,20.33948
1470.0,19.436506
1471.0,7.5627007
1472.0,5.3019915
1473.0,4.2849865
1474.0,7.3993244
1475.0,6.69162
1476.0,7.7298126
1477.0,5.2546277
1478.0,7.8173594
1479.0,8.396428
1480.0,15.578653
1481.0,18.664434
1482.0,4.8074017
1483.0,6.6729136
1484.0,10.747092
1485.0,11.688076
1486.0,9.696793
1487.0,16.73154
1488.0,10.794804
1489.0,9.061518
1490.0,12.806249
1491.0,20.543314
1492.0,21.685888
1493.0,11.346806
1494.0,11.307569
1495.0,18.451138
1496.0,19.568966
1497.0,20.081778
1498.0,10.977249
1499.0,17.124544
1500.0,15.898113
1501.0,12.810586
1502.0,10.001389
1503.0,18.5951
1504.0,30.469019
1505.0,24.269894
1506.0,34.589657
1507.0,54.20793
1508.0,32.286907
1509.0,22.513577
1510.0,14.092945
1511.0,8.931841
1512.0,9.139353
1513.0,9.420722
1514.0,14.96663
1515.0,9.7866125
1516.0,9.08448
1517.0,10.301024
1518.0,8.278151
1519.0,5.9953685
1520.0,6.7905164
1521.0,6.576473
1522.0,4.527693
1523.0,11.390786
1524.0,12.010412
1525.0,13.856406
1526.0,17.124544
1527.0,11.236102
1528.0,13.510284
1529.0,16.424913
1530.0,3.34581
1531.0,14.660984
1532.0,11.467345
1533.0,20.2512
1534.0,18.248287
1535.0,5.011099
1536.0,5.093569
1537.0,7.0356236
1538.0,6.622772
1539.0,5.0359817
1540.0,8.069145
1541.0,7.551674
1542.0,7.9756575
1543.0,8.623289
1544.0,5.1666665
1545.0,4.1533117
1546.0,6.4700165
1547.0,7.5240355
1548.0,8.506534
1549.0,5.6445646
1550.0,8.038104
1551.0,9.233092
1552.0,5.5777335
1553.0,4.8989797
1554.0,3.082207
1555.0,5.8523498
1556.0,9.239108
1557.0,15.977415
1558.0,17.200613
1559.0,22.461077
1560.0,31.296747
1561.0,10.259142
1562.0,14.384234
1563.0,10.81084
1564.0,3.905125
1565.0,4.065437
1566.0,3.503965
1567.0,3.756476
1568.0,5.1343074
1569.0,5.668809
1570.0,4.555217
1571.0,6.4117947
1572.0,5.8523498
1573.0,4.0860684
1574.0,3.2787192
1575.0,4.9944415
1576.0,7.314369
1577.0,7.937254